ID,CODE,VALID_FROM,VALID_UNTIL,SNAME,LNAME
1000502,US85,10/27/2012,9/14/2013,814,US85 & Bridge St. PnR
1000511,BNLX,10/27/2012,9/14/2013,824,NOG Loop Extra
1000516,WAGN,10/27/2012,9/14/2013,816,Wagon Road/Thornton PnR
1000562,FCS,10/27/2012,1/1/2036,802,Federal Center Station
1000580,BMLX,10/27/2012,9/14/2013,823,MOG Loop Extra
1000581,BLDR,10/27/2012,9/14/2013,821,Boulder/Broomfield
1159275,HOP,1/1/1970,2/26/2013,HOP,HOP
1160743,104X,1/1/1970,2/26/2013,104X,104X
1160743,104X,2/26/2013,1/1/2036,604,Commerce City / Denver Express
1159275,HOP,2/26/2013,4/24/2016,234,HOP
1161793,L16,1/1/1970,1/1/2036,450,16/16L West Colfax
323,323,2/26/2013,1/1/2036,323,Skyline Crosstown
324,324,2/26/2013,1/1/2036,324,Main Street
326,326,2/26/2013,1/1/2036,326,Westside Crosstown
327,327,2/26/2013,1/1/2036,327,Eastside Crosstown
